id,name,neighbourhood_cleansed,room_type_simple,accommodates,bedrooms,bathrooms,price_clean,price_category,latitude,longitude,review_scores_rating,number_of_reviews,host_is_superhost,minimum_nights,capacity_type
1292266036689164291,"Melhor apartamento de Copacabana , todo novo !",Copacabana,Casa/Apto Inteiro,7,3.0,1.0,,,-22.97482922415553,-43.19066903696888,0.0,0,f,5,Grande (5+)
21489728,Studio Copacabana,Copacabana,Casa/Apto Inteiro,3,1.0,1.0,198.0,Baixo,-22.97441,-43.18808,4.74,73,f,1,Médio (3-4)
1346495862618805413,Torre com vista linda,Barra da Tijuca,Casa/Apto Inteiro,3,0.0,0.0,374.0,Médio-Baixo,-23.0028905,-43.32850430000001,0.0,0,t,3,Médio (3-4)
36197503,"Ap. 3 quartos, completo, prox. do metrô e praias",Ipanema,Casa/Apto Inteiro,6,3.0,2.5,499.0,Médio-Baixo,-22.98501,-43.19337,5.0,7,f,4,Grande (5+)
13015688,Your suíte in Rio,Leme,Quarto Privado,6,3.0,3.0,1000.0,Médio,-22.96214,-43.17066,4.7,54,f,20,Grande (5+)
1289185052849245437,Lindo ipanema vista mar c/ vaga! Amei,Ipanema,Casa/Apto Inteiro,4,2.0,1.0,,,-22.98308,-43.20084,5.0,3,t,3,Médio (3-4)
1305801535127056370,Loft aconchegante posto 6 Copa a 300 m Praia,Copacabana,Casa/Apto Inteiro,2,1.0,1.0,260.0,Baixo,-22.98227,-43.19426,0.0,0,f,6,Pequeno (1-2)
750863609868529685,In Leme - Encanto e Magia,Jacarepaguá,Casa/Apto Inteiro,5,2.0,2.0,713.0,Médio,-22.96798,-43.39253,5.0,2,f,1,Grande (5+)
1003176820712375220,Joia Rara Seu Ap c/ Metro e BRT na Porta,Barra da Tijuca,Casa/Apto Inteiro,2,1.0,1.0,318.0,Médio-Baixo,-23.0057972,-43.3199967,4.78,64,,1,Pequeno (1-2)
1440719867482621673,Studio contemporâneo Casa Mauá 1306,Centro,Casa/Apto Inteiro,2,1.0,1.0,162.0,Baixo,-22.9000945,-43.1799368,5.0,1,t,1,Pequeno (1-2)
763129427532246937,Casa do Sol - Pé na areia,Barra de Guaratiba,Casa/Apto Inteiro,8,3.0,2.0,560.0,Médio,-23.065082807305448,-43.56772888451815,4.86,28,f,2,Grande (5+)
1275422343347471959,Ap com vista deslumbrante Urca,Urca,Casa/Apto Inteiro,5,3.0,2.5,810.0,Médio,-22.94579,-43.1634,4.88,8,,2,Grande (5+)
683402809346251624,Apartamento Espetacular Zona Norte,Engenho de Dentro,Casa/Apto Inteiro,5,1.0,1.0,344.0,Médio-Baixo,-22.8933,-43.29771,4.91,22,f,2,Grande (5+)
857891141853324511,Quarto suíte para estudante,Vargem Grande,Quarto Privado,1,4.0,4.0,270.0,Baixo,-22.9701495,-43.4819141,0.0,0,f,30,Pequeno (1-2)
988332531552033035,Ótima localização!,Copacabana,Casa/Apto Inteiro,4,2.0,2.0,390.0,Médio-Baixo,-22.980709721698823,-43.191033932600895,4.79,33,f,1,Médio (3-4)
54024081,Leblon melhor localização- 250m da praia 30m metrô,Leblon,Casa/Apto Inteiro,4,2.0,1.5,457.0,Médio-Baixo,-22.98619,-43.22528,4.94,81,f,2,Médio (3-4)
1297022120779988584,Lindo apt posto 6 Copacabana,Copacabana,Casa/Apto Inteiro,4,2.0,2.0,441.0,Médio-Baixo,-22.9841532,-43.1919094,5.0,2,f,4,Médio (3-4)
3090332,Great Location Copacabana Flat,Copacabana,Casa/Apto Inteiro,4,2.0,1.0,237.0,Baixo,-22.97805,-43.19241,4.72,129,t,5,Médio (3-4)
307714,SUITE IN IPANEMA RIO DE JANEIRO,Ipanema,Quarto Privado,2,1.0,1.0,275.0,Baixo,-22.98323,-43.1982,4.86,8,f,5,Pequeno (1-2)
